Municipios;Sexo;Periodo;Total
03019 Aspe;Total;2012;20.309
03019 Aspe;Total;2011;20.292
03019 Aspe;Total;2010;20.360
03019 Aspe;Total;2009;20.180
03019 Aspe;Total;2008;19.893
03019 Aspe;Total;2007;19.246
03019 Aspe;Total;2006;18.821
03019 Aspe;Total;2005;18.203
03019 Aspe;Total;2004;17.833
03019 Aspe;Total;2003;17.423
03019 Aspe;Total;2002;16.976
03019 Aspe;Total;2001;16.692
03019 Aspe;Total;2000;16.593
03019 Aspe;Total;1999;16.492
03019 Aspe;Total;1998;16.406
03019 Aspe;Total;1997;""
03019 Aspe;Total;1996;16.391
03001 Atzúbia, l';Total;2022;616
03001 Atzúbia, l';Total;2021;609
03001 Atzúbia, l';Total;2020;611
03001 Atzúbia, l';Total;2019;632
03001 Atzúbia, l';Total;2018;661
03001 Atzúbia, l';Total;2017;664
03001 Atzúbia, l';Total;2016;689
03001 Atzúbia, l';Total;2015;632
03001 Atzúbia, l';Total;2014;627
03001 Atzúbia, l';Total;2013;744
03001 Atzúbia, l';Total;2012;749
03001 Atzúbia, l';Total;2011;730
03001 Atzúbia, l';Total;2010;695
03001 Atzúbia, l';Total;2009;693
03001 Atzúbia, l';Total;2008;686
03001 Atzúbia, l';Total;2007;668
03001 Atzúbia, l';Total;2006;627
03001 Atzúbia, l';Total;2005;611
03001 Atzúbia, l';Total;2004;635
03001 Atzúbia, l';Total;2003;587
03001 Atzúbia, l';Total;2002;605
03001 Atzúbia, l';Total;2001;570
03001 Atzúbia, l';Total;2000;547
03001 Atzúbia, l';Total;1999;558
03001 Atzúbia, l';Total;1998;579
03001 Atzúbia, l';Total;1997;""
03001 Atzúbia, l';Total;1996;582
03020 Balones;Total;2022;126
03020 Balones;Total;2021;134
03020 Balones;Total;2020;128
03020 Balones;Total;2019;131
03020 Balones;Total;2018;122
03020 Balones;Total;2017;128
03020 Balones;Total;2016;129
03020 Balones;Total;2015;133
03020 Balones;Total;2014;139
03020 Balones;Total;2013;147
03020 Balones;Total;2012;157
03020 Balones;Total;2011;162
03020 Balones;Total;2010;156
03020 Balones;Total;2009;163
03020 Balones;Total;2008;157
03020 Balones;Total;2007;163
03020 Balones;Total;2006;160
03020 Balones;Total;2005;169
03020 Balones;Total;2004;171
